Bellek Hçzç,Cihaz Aßçrlçßç,Ekran Boyutu,Ekran Kartç Bellek Tipi,Ekran Kartç Hafçzasç,Ekran Kartç Tipi,Ekran Panel Tipi,òülemci Nesli,òülemci,òületim Sistemi,Kart Okuyucu,Aydçnlatma,Maksimum òülemci Hçzç,Max Ekran ÄîzÅnÅrlÅßÅ,Parmak òzi Okuyucu,Ram (Sistem Belleßi),SSD Kapasitesi,örÅn Modeli,Fiyat
2666 MHz,1 - 2 kg,15,6 iná,DDR3,Paylaüçmlç,Dahili Ekran Kartç,IPS,10. Nesil,1005G1,Windows 11 Home,Yok,0,3,4 GHz,1920 x 1080,Yok,12 GB,256 GB,Notebook,Äok DÅüÅk
2666 MHz,1 - 2 kg,15,6 iná,Onboard,Paylaüçmlç,Dahili Ekran Kartç,TN,10. Nesil,10110U,Yok (Free Dos),Var,0,4,1 GHz,1366 x 768,Yok,8 GB,256 GB,Notebook,Äok DÅüÅk
3200 MHz,1 - 2 kg,15,6 iná,Onboard,Paylaüçmlç,Dahili Ekran Kartç,IPS,10. Nesil,1035G1,Yok (Free Dos),Yok,0,3,6 GHz,1920 x 1080,Yok,8 GB,512 GB,Notebook,DÅüÅk
3200 MHz,1 - 2 kg,15,6 iná,Onboard,Paylaüçmlç,Dahili Ekran Kartç,IPS,10. Nesil,1035G1,Yok (Free Dos),Yok,0,3,6 GHz,1920 x 1080,Yok,8 GB,512 GB,Notebook,DÅüÅk
,1 - 2 kg,15,6 iná,,Paylaüçmlç,Dahili Ekran Kartç,LED,10. Nesil,1005G1,Yok (Free Dos),,0,3,4 GHz,1920 x 1080,Yok,8 GB,256 GB,Notebook,Äok DÅüÅk
2666 MHz,2 - 4 kg,15,6 iná,Onboard,Paylaüçmlç,Dahili Ekran Kartç,LED,10. Nesil,1005G1,Windows 11 Home,Yok,0,3,4 GHz,1920 x 1080,Yok,4 GB,256 GB,Notebook,Äok DÅüÅk
3200 MHz,2 - 4 kg,15,6 iná,Onboard,Paylaüçmlç,Dahili Ekran Kartç,TN,10. Nesil,1005G1,Windows 10 Home,Yok,0,3,4 GHz,1366 x 768,Yok,8 GB,256 GB,Notebook,Äok DÅüÅk
3200 MHz,2 - 4 kg,15,6 iná,Onboard,Paylaüçmlç,Dahili Ekran Kartç,TN,10. Nesil,1005G1,Windows 10 Home,Yok,0,3,4 GHz,1366 x 768,Yok,8 GB,256 GB,Notebook,Äok DÅüÅk
3200 MHz,2 - 4 kg,15,6 iná,Onboard,Paylaüçmlç,Dahili Ekran Kartç,TN,10. Nesil,1005G1,Windows 10 Home,Yok,0,3,4 GHz,1366 x 768,Yok,8 GB,256 GB,Notebook,Äok DÅüÅk
,2 - 4 kg,15,6 iná,,Paylaüçmlç,Harici Ekran Kartç,LED,10. Nesil,1035G1,Yok (Free Dos),Yok,0,1,05 GHz,1920 x 1080,Yok,12 GB,512 GB,òkisi Bir Arada,DÅüÅk
,2 kg ve Altç,15,6 iná,,Paylaüçmlç,Dahili Ekran Kartç,TN,10. Nesil,10. Nesil Intel© Core? i3-10110U iülemci,Windows 10 Home,Yok,0,2,1 GHz,1920 x 1080,Yok,4 GB,128 GB,Notebook,Äok DÅüÅk
,2 kg ve Altç,15,6 iná,,Paylaüçmlç,Dahili Ekran Kartç,TN,10. Nesil,10. Nesil Intel© Core? i3-10110U iülemci,Windows 10 Home,Yok,0,2,1 GHz,1920 x 1080,Yok,4 GB,128 GB,Notebook,Äok DÅüÅk
,,15,6 iná,,Paylaüçmlç,Dahili Ekran Kartç,LED,10. Nesil,1005G1,Windows 11 Home,,0,3,4 GHz,,,4 GB,256 GB,Notebook,Äok DÅüÅk
2666 MHz,1 - 2 kg,15,6 iná,GDDR5,2 GB,Harici Ekran Kartç,TN,10.Nesil,10200H,Windows 10 Pro,Yok,0,4,2 GHz,1920 x 1080,Yok,20 GB,1 TB,Notebook,Orta
2933 MHz,2 - 4 kg,15,6 iná,GDDR6,4 GB,Harici Ekran Kartç,IPS,10.Nesil,10300H,Yok (Free Dos),Var,1,4,5 GHz,1920 x 1080,Yok,16 GB,512 GB,Notebook,DÅüÅk
2933 MHz,2 - 4 kg,15,6 iná,GDDR6,4 GB,Harici Ekran Kartç,IPS,10.Nesil,10300H,Yok (Free Dos),Var,1,4,5 GHz,1920 x 1080,Yok,16 GB,512 GB,Notebook,DÅüÅk
2933 MHz,2 - 4 kg,15,6 iná,GDDR6,4 GB,Harici Ekran Kartç,IPS,10.Nesil,10300H,Windows 10 Home,Yok,1,4,5 GHz,1920 x 1080,Yok,16 GB,1 TB,Notebook,Orta
2933 MHz,2 - 4 kg,15,6 iná,GDDR6,4 GB,YÅksek Seviye Harici Ekran Kartç,IPS,10.Nesil,10300H,Yok (Free Dos),Yok,1,4,5 GHz,1920 x 1080,Yok,32 GB,1 TB,Oyun Bilgisayarlarç,Orta
2933 MHz,2 - 4 kg,15,6 iná,GDDR6,4 GB,Harici Ekran Kartç,IPS,10.Nesil,10300H,Yok (Free Dos),Yok,1,4,5 GHz,1920 x 1080,Yok,12 GB,512 GB,Notebook,DÅüÅk
,2 - 4 kg,15,6 iná,,4 GB,Harici Ekran Kartç,IPS,10.Nesil,10750H,Windows 10 Home,Yok,0,5 GHz,1920 x 1080,Yok,16 GB,512 GB,Oyun Bilgisayarlarç,Orta
2666 MHz,2 kg ve Altç,15,6 iná,GDDR5,4 GB,YÅksek Seviye Harici Ekran Kartç,TN,10.Nesil,10750H,Yok (Free Dos),Var,0,5 GHz,1920 x 1080,Yok,16 GB,512 GB,Oyun Bilgisayarlarç,YÅksek
2400 MHz,1 - 2 kg,14 iná,Onboard,Paylaüçmlç,Dahili Ekran Kartç,TN,10.Nesil,1035G1,Yok (Free Dos),Yok,0,3,6 GHz,1920 x 1080,Yok,8 GB,256 GB,Notebook,DÅüÅk
2666 MHz,1 - 2 kg,15,6 iná,Onboard,Paylaüçmlç,Dahili Ekran Kartç,TN,Yok,N5030,Windows 11 Home,Yok,0,3,1 GHz,1366 x 768,Yok,4 GB,120 GB,Notebook,Äok DÅüÅk
2666 MHz,1 - 2 kg,14 iná,Onboard,Paylaüçmlç,Dahili Ekran Kartç,SVA,10.Nesil,1065G7,Windows 11 Home,Var,0,3,9 GHz,1920 x 1080,Yok,16 GB,512 GB,Notebook,DÅüÅk
2666 MHz,1 - 2 kg,14 iná,Onboard,Paylaüçmlç,Dahili Ekran Kartç,SVA,10.Nesil,1065G7,Windows 11 Home,Var,0,3,9 GHz,1920 x 1080,Yok,24 GB,512 GB,Notebook,DÅüÅk
2666 MHz,1 - 2 kg,14 iná,Onboard,Paylaüçmlç,Dahili Ekran Kartç,SVA,10.Nesil,1065G7,Windows 11 Home,Var,0,3,9 GHz,1920 x 1080,Yok,16 GB,512 GB,Notebook,DÅüÅk
2400 MHz,2 - 4 kg,14 iná,Onboard,Paylaüçmlç,Dahili Ekran Kartç,SVA,10.Nesil,1065G7,Windows 10 Home,Var,0,3,9 GHz,1920 x 1080,Var,8 GB,512 GB,Notebook,DÅüÅk
2400 MHz,2 - 4 kg,14 iná,Onboard,Paylaüçmlç,Dahili Ekran Kartç,SVA,10.Nesil,1065G7,Windows 10 Home,Var,0,3,9 GHz,1920 x 1080,Var,8 GB,512 GB,Notebook,DÅüÅk
2666 MHz,1 - 2 kg,15,6 iná,Onboard,Paylaüçmlç,Dahili Ekran Kartç,WVA,10.Nesil,10510U,Ubuntu,Var,0,4,9 GHz,1366 x 768,,8 GB,128 GB,Notebook,DÅüÅk
3200 MHz,1 - 2 kg,15,6 iná,Onboard,Paylaüçmlç,Dahili Ekran Kartç,LED,10.Nesil,1035G1,Yok (Free Dos),Yok,0,3,6 GHz,1920 x 1080,Yok,8 GB,512 GB,Notebook,Äok DÅüÅk
3200 MHz,1 - 2 kg,15,6 iná,Onboard,Paylaüçmlç,Dahili Ekran Kartç,TN,10.Nesil,1035G1,Windows 11 Home,Yok,0,3,6 GHz,1920 x 1080,Yok,16 GB,256 GB,Notebook,DÅüÅk
3200 MHz,1 - 2 kg,15,6 iná,,Paylaüçmlç,Dahili Ekran Kartç,IPS,10.Nesil,1035G1,Yok (Free Dos),,0,3,5 GHz,1920 x 1080,Yok,8 GB,256 GB,Notebook,Äok DÅüÅk
3200 MHz,1 - 2 kg,15,6 iná,,Paylaüçmlç,Dahili Ekran Kartç,IPS,10.Nesil,1035G1,Yok (Free Dos),,0,3,5 GHz,1920 x 1080,Yok,8 GB,256 GB,Notebook,Äok DÅüÅk
2666 MHz,2 - 4 kg,15,6 iná,Onboard,Paylaüçmlç,Dahili Ekran Kartç,TN,10.Nesil,10110U,Windows 10 Home,Var,0,4,1 GHz,1366 x 768,Yok,8 GB,256 GB,Notebook,Äok DÅüÅk
2400 MHz,2 kg ve Altç,15,6 iná,Onboard,Paylaüçmlç,Dahili Ekran Kartç,IPS,10.Nesil,10210U,Windows 10 Home,Yok,0,4,2 GHz,1920 x 1080,Var,8 GB,256 GB,Notebook,DÅüÅk
2666 MHz,2 kg ve Altç,15,6 iná,Onboard,Paylaüçmlç,Dahili Ekran Kartç,TN,10.Nesil,1005G1,Windows 11 Home,Var,0,3,4 GHz,1920 x 1080,Yok,4 GB,120 GB,Notebook,Äok DÅüÅk
3200 MHz,2 kg ve Altç,15,6 iná,Onboard,Paylaüçmlç,Dahili Ekran Kartç,TN,10.Nesil,1005G1,Windows 11 Home,Yok,0,3,4 GHz,1920 x 1080,Yok,8 GB,512 GB,Notebook,Äok DÅüÅk
3200 MHz,2 kg ve Altç,15,6 iná,Onboard,Paylaüçmlç,Dahili Ekran Kartç,TN,10.Nesil,10210U,Yok (Free Dos),Var,1,4,2 GHz,1920 x 1080,Yok,8 GB,256 GB,Notebook,DÅüÅk
,,15,6 iná,GDDR6,Paylaüçmlç,Dahili Ekran Kartç,LED,10.Nesil,Celeron N4020,Windows 11 Home,,0,1,1 GHz,1920 x 1080,,4 GB,128 GB,Notebook,Äok DÅüÅk
3200 MHz,1 - 2 kg,14 iná,GDDR5,2 GB,Harici Ekran Kartç,IPS,11.Nesil,1165G7,Yok (Free Dos),Yok,0,4,7 GHz,1920 x 1080,Yok,16 GB,512 GB,Notebook,Orta
