Bellek Hçzç,Cihaz Aßçrlçßç,Ekran Boyutu,Ekran Kartç Bellek Tipi,Ekran Kartç Hafçzasç,Ekran Kartç Tipi,Ekran Panel Tipi,òülemci Nesli,òülemci,òületim Sistemi,Kart Okuyucu,Aydçnlatma,Maksimum òülemci Hçzç,Max Ekran ÄîzÅnÅrlÅßÅ,Parmak òzi Okuyucu,Ram (Sistem Belleßi),SSD Kapasitesi,örÅn Modeli,Fiyat
3200 MHz,2 - 4 kg,17,3 iná,GDDR5,2 GB,Harici Ekran Kartç,IPS,11.Nesil,1165G7,Yok (Free Dos),Var,0,4,7 GHz,1920 x 1080,Yok,16 GB,512 GB,Notebook,Orta
3200 MHz,2 - 4 kg,17,3 iná,GDDR5,2 GB,Harici Ekran Kartç,IPS,11.Nesil,1135G7,Yok (Free Dos),Var,0,4,2 GHz,1920 x 1080,Yok,8 GB,512 GB,Notebook,DÅüÅk
3200 MHz,2 - 4 kg,17,3 iná,GDDR5,2 GB,Harici Ekran Kartç,IPS,11.Nesil,1135G7,Yok (Free Dos),Var,0,4,2 GHz,1920 x 1080,Yok,8 GB,512 GB,Notebook,DÅüÅk
3200 MHz,2 - 4 kg,17,3 iná,GDDR5,2 GB,Harici Ekran Kartç,IPS,11.Nesil,1165G7,Yok (Free Dos),Var,0,4,7 GHz,1920 x 1080,Yok,8 GB,512 GB,Notebook,Orta
3200 MHz,2 - 4 kg,17,3 iná,GDDR5,2 GB,Harici Ekran Kartç,IPS,11.Nesil,1165G7,Yok (Free Dos),Var,0,4,7 GHz,1920 x 1080,Yok,8 GB,512 GB,Notebook,Orta
3200 MHz,2 - 4 kg,17,3 iná,,2 GB,Harici Ekran Kartç,IPS,11.Nesil,1165G7,Yok (Free Dos),Var,0,4,7 GHz,1920 x 1080,Yok,8 GB,512 GB,Notebook,DÅüÅk
3200 MHz,2 - 4 kg,17,3 iná,,2 GB,Harici Ekran Kartç,IPS,11.Nesil,1135G7,Yok (Free Dos),Var,0,4,2 GHz,1920 x 1080,Yok,20 GB,512 GB,Notebook,DÅüÅk
3200 MHz,1 - 2 kg,15,6 iná,GDDR6,4 GB,YÅksek Seviye Harici Ekran Kartç,IPS,11.Nesil,11260H,Windows 11 Home,Yok,0,4,4 GHz,1920 x 1080,Yok,32 GB,512 GB,Notebook,Orta
3200 MHz,1 - 2 kg,15,6 iná,GDDR6,4 GB,YÅksek Seviye Harici Ekran Kartç,IPS,11.Nesil,11320H,Windows 11 Home,Yok,1,4,5 GHz,1920 x 1080,Yok,16 GB,1 TB,Oyun Bilgisayarlarç,Orta
2666 MHz,2 - 4 kg,15,6 iná,GDDR6,4 GB,Harici Ekran Kartç,IPS,11.Nesil,11370H,Yok (Free Dos),Yok,1,4,8 GHz,1920 x 1080,Yok,16 GB,256 GB,Notebook,Orta
2933 MHz,2 - 4 kg,15,6 iná,GDDR6,4 GB,YÅksek Seviye Harici Ekran Kartç,IPS,11.Nesil,11400H,Yok (Free Dos),Yok,0,4,5 GHz,1920 x 1080,Yok,8 GB,512 GB,Oyun Bilgisayarlarç,Orta
3200 MHz,2 - 4 kg,15,6 iná,GDDR6,4 GB,YÅksek Seviye Harici Ekran Kartç,IPS,11.Nesil,5600H,Yok (Free Dos),Yok,1,4,2 GHz,1920 x 1080,Yok,16 GB,256 GB,Oyun Bilgisayarlarç,DÅüÅk
3200 MHz,2 - 4 kg,15,6 iná,GDDR6,4 GB,YÅksek Seviye Harici Ekran Kartç,IPS,11.Nesil,11800H,Yok (Free Dos),Yok,0,4,6 GHz,1920 x 1080,Yok,32 GB,500 GB,Oyun Bilgisayarlarç,Orta
3200 MHz,2 - 4 kg,15,6 iná,GDDR6,4 GB,Harici Ekran Kartç,WVA,11.Nesil,11400H,Yok (Free Dos),Var,1,4,5 GHz,1920 x 1080,Yok,16 GB,500 GB,Oyun Bilgisayarlarç,DÅüÅk
3200 MHz,2 - 4 kg,15,6 iná,GDDR6,4 GB,YÅksek Seviye Harici Ekran Kartç,IPS,11.Nesil,11390H,Yok (Free Dos),Yok,0,5 GHz,1920 x 1080,Yok,16 GB,512 GB,Oyun Bilgisayarlarç,Orta
3200 MHz,2 - 4 kg,15,6 iná,GDDR6,4 GB,Harici Ekran Kartç,IPS,11.Nesil,11320H,Yok (Free Dos),Yok,0,4,5 GHz,1920 x 1080,Yok,16 GB,256 GB,Notebook,DÅüÅk
3200 MHz,2 - 4 kg,15,6 iná,GDDR6,4 GB,Harici Ekran Kartç,IPS,11.Nesil,11320H,Yok (Free Dos),Yok,0,4,5 GHz,1920 x 1080,Yok,16 GB,256 GB,Notebook,DÅüÅk
3200 MHz,2 - 4 kg,15,6 iná,GDDR6,4 GB,Harici Ekran Kartç,IPS,11.Nesil,11320H,Windows 11 Home,Yok,0,4,5 GHz,1920 x 1080,Yok,8 GB,512 GB,Notebook,DÅüÅk
3200 MHz,2 - 4 kg,15,6 iná,GDDR6,4 GB,YÅksek Seviye Harici Ekran Kartç,WVA,11.Nesil,11400H,Windows 11 Home,Yok,1,4,5 GHz,1920 x 1080,Yok,16 GB,1 TB,Oyun Bilgisayarlarç,Orta
3200 MHz,2 - 4 kg,15,6 iná,GDDR6,4 GB,YÅksek Seviye Harici Ekran Kartç,IPS,11.Nesil,11800H,Windows 11 Home,Yok,0,4,6 GHz,1920 x 1080,Yok,16 GB,500 GB,Oyun Bilgisayarlarç,Orta
3200 MHz,2 - 4 kg,15,6 iná,GDDR6,4 GB,YÅksek Seviye Harici Ekran Kartç,IPS,11.Nesil,11600H,Yok (Free Dos),Var,1,4,6 GHz,1920 x 1080,Yok,16 GB,500 GB,Oyun Bilgisayarlarç,Orta
3200 MHz,2 - 4 kg,15,6 iná,GDDR6,4 GB,YÅksek Seviye Harici Ekran Kartç,IPS,11.Nesil,11600H,Yok (Free Dos),Var,1,4,6 GHz,1920 x 1080,Yok,16 GB,500 GB,Oyun Bilgisayarlarç,Orta
3200 MHz,2 - 4 kg,15,6 iná,GDDR6,4 GB,Harici Ekran Kartç,IPS,11.Nesil,11390H,Windows 11 Pro,Yok,1,5 GHz,1920 x 1080,Yok,64 GB,4 TB,Notebook,Äok YÅksek
3200 MHz,2 - 4 kg,15,6 iná,GDDR6,4 GB,YÅksek Seviye Harici Ekran Kartç,IPS,11.Nesil,11400H,Windows 11 Pro,Yok,0,4,5 GHz,1920 x 1080,Yok,16 GB,1 TB,Notebook,Orta
3200 MHz,2 - 4 kg,15,6 iná,GDDR6,4 GB,YÅksek Seviye Harici Ekran Kartç,WVA,11.Nesil,11260H,Windows 11 Pro,Yok,1,4,4 GHz,1920 x 1080,Yok,16 GB,1 TB,Oyun Bilgisayarlarç,Orta
3200 MHz,2 - 4 kg,15,6 iná,GDDR6,4 GB,Harici Ekran Kartç,IPS,11.Nesil,11390H,Windows 11 Pro,Yok,1,5 GHz,1920 x 1080,Yok,32 GB,1 TB,Notebook,YÅksek
3200 MHz,2 - 4 kg,15,6 iná,GDDR6,4 GB,YÅksek Seviye Harici Ekran Kartç,IPS,11.Nesil,10300H,Yok (Free Dos),Var,0,4,4 GHz,1920 x 1080,Yok,8 GB,512 GB,Oyun Bilgisayarlarç,DÅüÅk
3200 MHz,2 - 4 kg,15,6 iná,GDDR6,4 GB,Harici Ekran Kartç,IPS,11.Nesil,11400H,Yok (Free Dos),Yok,0,4,5 GHz,1920 x 1200,Yok,8 GB,512 GB,Oyun Bilgisayarlarç,DÅüÅk
3200 MHz,2 - 4 kg,15,6 iná,GDDR6,4 GB,YÅksek Seviye Harici Ekran Kartç,IPS,11.Nesil,10300H,Yok (Free Dos),Var,0,4,4 GHz,1920 x 1080,Yok,8 GB,512 GB,Oyun Bilgisayarlarç,DÅüÅk
3200 MHz,2 - 4 kg,15,6 iná,GDDR6,4 GB,Harici Ekran Kartç,IPS,11.Nesil,11390H,Windows 11 Pro,Yok,1,5 GHz,1920 x 1080,Yok,32 GB,1 TB,Notebook,YÅksek
3200 MHz,2 - 4 kg,15,6 iná,,4 GB,YÅksek Seviye Harici Ekran Kartç,IPS,11.Nesil,11320H,Yok (Free Dos),Yok,1,4,5 GHz,1920 x 1080,Yok,16 GB,512 GB,Oyun Bilgisayarlarç,Orta
3200 MHz,2 - 4 kg,15,6 iná,,4 GB,YÅksek Seviye Harici Ekran Kartç,IPS,11.Nesil,11600H,Yok (Free Dos),Var,1,4,6 GHz,1920 x 1080,Yok,16 GB,500 GB,Oyun Bilgisayarlarç,Orta
3200 MHz,2 - 4 kg,15,6 iná,,4 GB,YÅksek Seviye Harici Ekran Kartç,IPS,11.Nesil,11600H,Yok (Free Dos),Var,1,4,6 GHz,1920 x 1080,Yok,16 GB,500 GB,Oyun Bilgisayarlarç,Orta
3200 MHz,2 - 4 kg,15,6 iná,GDDR6,4 GB,Harici Ekran Kartç,IPS,11.Nesil,11400H,Yok (Free Dos),,0,4,5 GHz,1920 x 1080,Yok,16 GB,500 GB,Oyun Bilgisayarlarç,DÅüÅk
3200 MHz,2 - 4 kg,15,6 iná,GDDR6,4 GB,YÅksek Seviye Harici Ekran Kartç,IPS,11.Nesil,11400H,Yok (Free Dos),,1,4,7 GHz,1920 x 1080,Yok,16 GB,512 GB,Oyun Bilgisayarlarç,DÅüÅk
3200 MHz,2 - 4 kg,15,6 iná,GDDR6,4 GB,YÅksek Seviye Harici Ekran Kartç,IPS,11.Nesil,11400H,Yok (Free Dos),,1,4,5 GHz,1920 x 1080,,16 GB,512 GB,Oyun Bilgisayarlarç,Orta
3200 MHz,2 - 4 kg,17,3 iná,GDDR6,4 GB,Harici Ekran Kartç,IPS,11.Nesil,11800H,Windows 11 Home,Var,0,2,3 GHz,1920 x 1080,Yok,16 GB,1 TB,Oyun Bilgisayarlarç,YÅksek
3200 MHz,2 - 4 kg,17,3 iná,GDDR6,4 GB,YÅksek Seviye Harici Ekran Kartç,IPS,11.Nesil,11400H,Yok (Free Dos),Yok,1,4,5 GHz,1920 x 1080,Yok,16 GB,1 TB,Oyun Bilgisayarlarç,Orta
3200 MHz,2 - 4 kg,17,3 iná,GDDR6,4 GB,YÅksek Seviye Harici Ekran Kartç,IPS,11.Nesil,11400H,Yok (Free Dos),Yok,1,4,5 GHz,1920 x 1080,Yok,16 GB,1 TB,Oyun Bilgisayarlarç,Orta
3200 MHz,2 - 4 kg,15,6 iná,GDDR6,6 GB,YÅksek Seviye Harici Ekran Kartç,IPS,11.Nesil,11600H,Yok (Free Dos),Yok,1,4,6 GHz,2560 x 1440,Yok,16 GB,1 TB,Oyun Bilgisayarlarç,YÅksek
3200 MHz,2 - 4 kg,15,6 iná,GDDR6,6 GB,YÅksek Seviye Harici Ekran Kartç,IPS,11.Nesil,11800H,Yok (Free Dos),Yok,0,4,6 GHz,1920 x 1080,Yok,32 GB,500 GB,Oyun Bilgisayarlarç,Orta
3200 MHz,2 - 4 kg,15,6 iná,GDDR6,6 GB,YÅksek Seviye Harici Ekran Kartç,IPS,11.Nesil,11800H,Windows 11 Home,Yok,0,4,6 GHz,1920 x 1080,Yok,32 GB,1 TB,Oyun Bilgisayarlarç,Orta
3200 MHz,2 - 4 kg,15,6 iná,GDDR6,6 GB,YÅksek Seviye Harici Ekran Kartç,IPS,11.Nesil,11800H,Yok (Free Dos),Yok,0,4,6 GHz,1920 x 1080,Yok,16 GB,500 GB,Oyun Bilgisayarlarç,Orta
3200 MHz,2 - 4 kg,15,6 iná,GDDR6,6 GB,YÅksek Seviye Harici Ekran Kartç,IPS,11.Nesil,11600H,Yok (Free Dos),Yok,0,4,6 GHz,1920 x 1080,Yok,16 GB,1 TB,Oyun Bilgisayarlarç,YÅksek
3200 MHz,2 - 4 kg,15,6 iná,GDDR6,6 GB,YÅksek Seviye Harici Ekran Kartç,IPS,11.Nesil,11600H,Yok (Free Dos),Yok,0,4,6 GHz,1920 x 1080,Yok,16 GB,1 TB,Oyun Bilgisayarlarç,YÅksek
3200 MHz,2 - 4 kg,15,6 iná,GDDR6,6 GB,YÅksek Seviye Harici Ekran Kartç,IPS,11.Nesil,11600H,Windows 11 Pro,Yok,0,4,6 GHz,1920 x 1080,Yok,32 GB,1 TB,Oyun Bilgisayarlarç,YÅksek
3200 MHz,2 - 4 kg,15,6 iná,GDDR6,6 GB,Harici Ekran Kartç,IPS,11.Nesil,11800H,Yok (Free Dos),Yok,0,4,6 GHz,1920 x 1080,Yok,16 GB,512 GB,Oyun Bilgisayarlarç,Orta
3200 MHz,2 - 4 kg,15,6 iná,GDDR6,6 GB,YÅksek Seviye Harici Ekran Kartç,IPS,11.Nesil,11400H,Yok (Free Dos),Yok,0,4,5 GHz,1920 x 1080,,16 GB,512 GB,Notebook,Orta
,2 - 4 kg,15,6 iná,,8 GB,Harici Ekran Kartç,IPS,11.Nesil,11800H,Yok (Free Dos),Yok,1,4,6 GHz,1920 x 1080,Yok,16 GB,512 GB,Oyun Bilgisayarlarç,YÅksek
3200 MHz,2 - 4 kg,17,3 iná,GDDR6,8 GB,Harici Ekran Kartç,TN,11.Nesil,11800H,Yok (Free Dos),Yok,1,4,6 GHz,1920 x 1080,Yok,16 GB,512 GB,Oyun Bilgisayarlarç,Äok YÅksek
2933 MHz,1 - 2 kg,13,3 iná,Onboard,,Dahili Ekran Kartç,IPS,11.Nesil,1135G7,Windows 10 Home,Var,0,4,2 GHz,1920 x 1080,Yok,8 GB,512 GB,Notebook,DÅüÅk
2933 MHz,1 - 2 kg,13,3 iná,Onboard,,Dahili Ekran Kartç,IPS,11.Nesil,1135G7,Windows 10 Home,Var,0,4,2 GHz,1920 x 1080,Yok,8 GB,512 GB,Notebook,DÅüÅk
,1 - 2 kg,14 iná,Onboard,,Dahili Ekran Kartç,IPS,11.Nesil,1135G7,Windows 11 Home,,0,4,2 GHz,1920 x 1080,,8 GB,512 GB,Notebook,DÅüÅk
,1 - 2 kg,14 iná,Onboard,,Dahili Ekran Kartç,IPS,11.Nesil,1135G7,Windows 11 Home,,0,4,2 GHz,1920 x 1080,,8 GB,512 GB,Notebook,DÅüÅk
3733 MHz,1 - 2 kg,15,6 iná,,,Dahili Ekran Kartç,IPS,11.Nesil,1115G4,Windows 11 Home,Yok,0,4,1 GHz,1920 x 1080,Var,8 GB,256 GB,Notebook,DÅüÅk
3733 MHz,1 - 2 kg,15,6 iná,,,Dahili Ekran Kartç,IPS,11.Nesil,1115G4,Windows 11 Home,Yok,0,4,1 GHz,1920 x 1080,Var,8 GB,256 GB,Notebook,DÅüÅk
,1 - 2 kg,15,6 iná,,,Dahili Ekran Kartç,LED,11.Nesil,1135G7,Windows 11 Home,Var,0,4,2 GHz,1920 x 1080,Var,8 GB,512 GB,Notebook,DÅüÅk
,2 kg ve Altç,15,6 iná,,,Dahili Ekran Kartç,LED,11.Nesil,1115G4,Windows 11 Home,,0,4,1 GHz,1920 x 1080,Yok,8ˇGB,256 GB,Notebook,Äok DÅüÅk
4267 MHz,2 - 4 kg,13 iná,Onboard,Paylaüçmlç,Dahili Ekran Kartç,IPS,11.Nesil,,Windows 11 Pro,,0,2,2 GHz,1920 x 1080,,16 GB,512 GB,Notebook,Äok YÅksek
2666 MHz,1 - 2 kg,13,3 iná,Onboard,Paylaüçmlç,Dahili Ekran Kartç,OLED,11.Nesil,1165G7,Yok (Free Dos),Var,0,4,7 GHz,1920 x 1080,Yok,16 GB,1 TB,Notebook,Orta
3200 MHz,1 - 2 kg,13,3 iná,Onboard,Paylaüçmlç,Dahili Ekran Kartç,OLED,11.Nesil,1165G7,Windows 11 Home,Var,1,4,7 GHz,1920 x 1080,Yok,16 GB,1 TB,Notebook,Orta
3200 MHz,1 - 2 kg,13,3 iná,Onboard,Paylaüçmlç,Dahili Ekran Kartç,OLED,11.Nesil,1165G7,Windows 11 Home,Var,1,4,7 GHz,1920 x 1080,Yok,16 GB,1 TB,Notebook,Orta
4267 MHz,1 - 2 kg,13,3 iná,Onboard,Paylaüçmlç,Dahili Ekran Kartç,OLED,11.Nesil,1135G7,Windows 11 Home,Var,1,4,2 GHz,1920 x 1080,Yok,8 GB,512 GB,Ultrabook,DÅüÅk
,1 - 2 kg,13,3 iná,Onboard,Paylaüçmlç,Dahili Ekran Kartç,IPS,11.Nesil,1135G7,Yok (Free Dos),Yok,1,4,2 GHz,1920 x 1200,Var,8 GB,256 GB,Ultrabook,DÅüÅk
3200 MHz,2 kg ve Altç,13,3 iná,Onboard,Paylaüçmlç,Dahili Ekran Kartç,IPS,11.Nesil,1165G7,Windows 10 Pro,Yok,1,4,7 GHz,1920 x 1080,Var,16 GB,256 GB,Notebook,Orta
2400 MHz,1 - 2 kg,14 iná,,Paylaüçmlç,Dahili Ekran Kartç,LED,11.Nesil,1135G7,Windows 11 Home,,0,4,2 GHz,1920 x 1080,Yok,8 GB,256 GB,Notebook,DÅüÅk
2400 MHz,1 - 2 kg,14 iná,,Paylaüçmlç,Dahili Ekran Kartç,LED,11.Nesil,1135G7,Windows 11 Home,,0,4,2 GHz,1920 x 1080,Yok,8 GB,256 GB,Notebook,DÅüÅk
2666 MHz,1 - 2 kg,14 iná,Onboard,Paylaüçmlç,Dahili Ekran Kartç,WVA,11.Nesil,1115G4,Yok (Free Dos),Var,1,4,1 GHz,1920 x 1080,Yok,8 GB,256 GB,Notebook,Äok DÅüÅk
2666 MHz,1 - 2 kg,14 iná,Onboard,Paylaüçmlç,Dahili Ekran Kartç,TN,11.Nesil,1115G4,Yok (Free Dos),Var,0,4,1 GHz,1366 x 768,Yok,8 GB,0 GB,Notebook,Äok DÅüÅk
2666 MHz,1 - 2 kg,14 iná,Onboard,Paylaüçmlç,Dahili Ekran Kartç,LED,11.Nesil,1135G7,Windows 11 Pro,Var,0,4,2 GHz,1920 x 1080,Yok,8 GB,256 GB,Notebook,DÅüÅk
2666 MHz,1 - 2 kg,14 iná,,Paylaüçmlç,Harici Ekran Kartç,IPS,11.Nesil,1155G7,Yok (Free Dos),,0,4,5 GHz,1920 x 1080,,8 GB,512 GB,Notebook,DÅüÅk
2666 MHz,1 - 2 kg,14 iná,,Paylaüçmlç,Dahili Ekran Kartç,TN,11.Nesil,1115G4,Ubuntu,Var,0,4,1 GHz,1920 x 1080,,12 GB,250 GB,Notebook,DÅüÅk
2666 MHz,1 - 2 kg,14 iná,Onboard,Paylaüçmlç,Dahili Ekran Kartç,TN,11.Nesil,1115G4,Ubuntu,Var,1,4,1 GHz,1366 x 768,Yok,4 GB,0 GB,Notebook,Äok DÅüÅk
2666 MHz,1 - 2 kg,14 iná,Onboard,Paylaüçmlç,Dahili Ekran Kartç,TN,11.Nesil,1115G4,Yok (Free Dos),Var,0,4,1 GHz,1366 x 768,Yok,8 GB,0 GB,Notebook,Äok DÅüÅk
3200 MHz,1 - 2 kg,14 iná,Onboard,Paylaüçmlç,Dahili Ekran Kartç,IPS,11.Nesil,1155G7,Windows 11 Home,Var,0,4,2 GHz,1920 x 1080,Yok,8 GB,512 GB,Ultrabook,DÅüÅk
3200 MHz,1 - 2 kg,14 iná,Onboard,Paylaüçmlç,Dahili Ekran Kartç,WVA,11.Nesil,1135G7,Windows 10 Pro,Var,0,4,2 GHz,1920 x 1080,Yok,16 GB,256 GB,Notebook,DÅüÅk
3200 MHz,1 - 2 kg,14 iná,Onboard,Paylaüçmlç,Dahili Ekran Kartç,SVA,11.Nesil,1135G7,Yok (Free Dos),Var,0,4,2 GHz,1920 x 1080,Yok,8 GB,256 GB,Notebook,DÅüÅk
3200 MHz,1 - 2 kg,14 iná,Onboard,Paylaüçmlç,Dahili Ekran Kartç,IPS,11.Nesil,1165G7,Yok (Free Dos),Var,1,4,7 GHz,1920 x 1080,Var,16 GB,512 GB,Notebook,Orta
3200 MHz,1 - 2 kg,14 iná,Onboard,Paylaüçmlç,Dahili Ekran Kartç,TN,11.Nesil,1115G4,Yok (Free Dos),Yok,0,4,1 GHz,1920 x 1080,Yok,8 GB,256 GB,Notebook,Äok DÅüÅk
3200 MHz,1 - 2 kg,14 iná,Onboard,Paylaüçmlç,Dahili Ekran Kartç,IPS,11.Nesil,1165G7,Windows 11 Pro,Var,0,4,7 GHz,1920 x 1080,Yok,16 GB,1 TB,Notebook,DÅüÅk
3200 MHz,1 - 2 kg,14 iná,Onboard,Paylaüçmlç,Dahili Ekran Kartç,TN,11.Nesil,1115G4,Yok (Free Dos),Yok,0,4,1 GHz,1924 x 1080,Yok,12 GB,512 GB,Notebook,Äok DÅüÅk
3200 MHz,1 - 2 kg,14 iná,Onboard,Paylaüçmlç,Dahili Ekran Kartç,TN,11.Nesil,1115G4,Windows 11 Pro,Yok,0,4,1 GHz,1920 x 1080,Yok,8 GB,256 GB,Notebook,DÅüÅk
3200 MHz,1 - 2 kg,14 iná,Onboard,Paylaüçmlç,Dahili Ekran Kartç,TN,11.Nesil,1115G4,Yok (Free Dos),Yok,0,4,1 GHz,1924 x 1080,Yok,12 GB,512 GB,Notebook,Äok DÅüÅk
3200 MHz,1 - 2 kg,14 iná,Onboard,Paylaüçmlç,Dahili Ekran Kartç,TN,11.Nesil,1165G7,Windows 11 Home,Yok,0,4,7 GHz,1920 x 1080,Yok,16 GB,512 GB,Notebook,Orta
3200 MHz,1 - 2 kg,14 iná,Onboard,Paylaüçmlç,Dahili Ekran Kartç,TN,11.Nesil,1115G4,Windows 11 Home,Yok,0,4,1 GHz,1920 x 1080,Yok,8 GB,1 TB,Notebook,DÅüÅk
3200 MHz,1 - 2 kg,14 iná,Onboard,Paylaüçmlç,Dahili Ekran Kartç,LED,11.Nesil,1115G4,Windows 11 Home,Var,0,4,1 GHz,1920 x 1080,Yok,4 GB,256 GB,Notebook,Äok DÅüÅk
3200 MHz,1 - 2 kg,14 iná,Onboard,Paylaüçmlç,Dahili Ekran Kartç,TN,11.Nesil,1115G4,Yok (Free Dos),Yok,0,4,1 GHz,1933 x 1080,Yok,12 GB,512 GB,Notebook,Äok DÅüÅk
3200 MHz,1 - 2 kg,14 iná,Onboard,Paylaüçmlç,Dahili Ekran Kartç,IPS,11.Nesil,1165G7,Yok (Free Dos),Yok,0,4,7 GHz,1920 x 1080,Var,8 GB,512 GB,Notebook,Orta
3200 MHz,1 - 2 kg,14 iná,Onboard,Paylaüçmlç,Dahili Ekran Kartç,IPS,11.Nesil,1155G7,Yok (Free Dos),Var,0,4,5 GHz,1926 x 1080,Yok,16 GB,1 TB,Notebook,DÅüÅk
3200 MHz,1 - 2 kg,14 iná,Onboard,Paylaüçmlç,Dahili Ekran Kartç,TN,11.Nesil,1165G7,Windows 11 Home,Yok,0,4,7 GHz,1920 x 1080,Yok,16 GB,512 GB,Notebook,Orta
3200 MHz,1 - 2 kg,14 iná,Onboard,Paylaüçmlç,Dahili Ekran Kartç,IPS,11.Nesil,1135G7,Windows 11 Pro,Var,0,4,2 GHz,1920 x 1080,Yok,24 GB,256 GB,Notebook,DÅüÅk
3200 MHz,1 - 2 kg,14 iná,Onboard,Paylaüçmlç,Dahili Ekran Kartç,LED,11.Nesil,1135G7,Yok (Free Dos),Yok,0,4,2 GHz,1920 x 1080,Yok,8 GB,256 GB,Notebook,DÅüÅk
3200 MHz,1 - 2 kg,14 iná,Onboard,Paylaüçmlç,Dahili Ekran Kartç,TN,11.Nesil,1115G4,Yok (Free Dos),Yok,0,4,1 GHz,1933 x 1080,Yok,12 GB,512 GB,Notebook,Äok DÅüÅk
3200 MHz,1 - 2 kg,14 iná,Onboard,Paylaüçmlç,Dahili Ekran Kartç,IPS,11.Nesil,1155G7,Yok (Free Dos),Var,0,4,5 GHz,1926 x 1080,Yok,16 GB,1 TB,Notebook,DÅüÅk
3200 MHz,1 - 2 kg,14 iná,Onboard,Paylaüçmlç,Dahili Ekran Kartç,TN,11.Nesil,1115G4,Windows 11 Home,Yok,0,4,1 GHz,1920 x 1080,Yok,8 GB,1 TB,Notebook,DÅüÅk
3200 MHz,1 - 2 kg,14 iná,Onboard,Paylaüçmlç,Dahili Ekran Kartç,LED,11.Nesil,1135G7,Yok (Free Dos),Yok,0,4,2 GHz,1920 x 1080,Yok,8 GB,256 GB,Notebook,DÅüÅk
3200 MHz,1 - 2 kg,14 iná,Onboard,Paylaüçmlç,Dahili Ekran Kartç,LED,11.Nesil,1115G4,Windows 11 Home,Var,0,4,1 GHz,1920 x 1080,Yok,4 GB,256 GB,Notebook,Äok DÅüÅk
3200 MHz,1 - 2 kg,14 iná,Onboard,Paylaüçmlç,Dahili Ekran Kartç,TN,11.Nesil,1115G4,Yok (Free Dos),Yok,0,4,1 GHz,1920 x 1080,Yok,8 GB,512 GB,Notebook,Äok DÅüÅk
3200 MHz,1 - 2 kg,14 iná,Onboard,Paylaüçmlç,Dahili Ekran Kartç,IPS,11.Nesil,1165G7,Yok (Free Dos),Var,0,4,7 GHz,1920 x 1080,Yok,32 GB,512 GB,Notebook,DÅüÅk
3200 MHz,1 - 2 kg,14 iná,Onboard,Paylaüçmlç,Dahili Ekran Kartç,IPS,11.Nesil,1165G7,Yok (Free Dos),Var,0,4,7 GHz,1920 x 1080,Yok,32 GB,512 GB,Notebook,DÅüÅk
3200 MHz,1 - 2 kg,14 iná,,Paylaüçmlç,Dahili Ekran Kartç,LED,11.Nesil,1115G4,Yok (Free Dos),Var,0,3 GHz,1920 x 1280,Yok,8 GB,256 GB,Notebook,Äok DÅüÅk
3200 MHz,1 - 2 kg,14 iná,,Paylaüçmlç,,TN,11.Nesil,1115G4,Yok (Free Dos),Yok,0,4,1 GHz,1920 x 1080,,8 GB,0 GB,Notebook,Äok DÅüÅk
3200 MHz,1 - 2 kg,14 iná,,Paylaüçmlç,,TN,11.Nesil,1115G4,Yok (Free Dos),Yok,0,4,1 GHz,1920 x 1080,,8 GB,0 GB,Notebook,Äok DÅüÅk
3200 MHz,1 - 2 kg,14 iná,,Paylaüçmlç,Dahili Ekran Kartç,LED,11.Nesil,1155G7,Yok (Free Dos),Var,0,2,5 GHz,1920 x 1280,Yok,8 GB,512 GB,Notebook,DÅüÅk
3200 MHz,1 - 2 kg,14 iná,Onboard,Paylaüçmlç,Dahili Ekran Kartç,WVA,11.Nesil,1165G7,Windows 11 Pro,Var,0,4,7 GHz,1920 x 1080,,16 GB,1 TB,Notebook,YÅksek
3200 MHz,1 - 2 kg,14 iná,Onboard,Paylaüçmlç,Dahili Ekran Kartç,WVA,11.Nesil,1165G7,Windows 11 Pro,Var,0,4,7 GHz,1920 x 1080,,16 GB,1 TB,Notebook,YÅksek
4267 MHz,1 - 2 kg,14 iná,Onboard,Paylaüçmlç,Dahili Ekran Kartç,IPS,11.Nesil,1165G7,Windows 10 Home,Yok,0,4,7 GHz,1920 x 1080,Var,16 GB,512 GB,Notebook,DÅüÅk
4267 MHz,1 - 2 kg,14 iná,Onboard,Paylaüçmlç,Dahili Ekran Kartç,IPS,11.Nesil,1135G7,Windows 11 Home,Yok,1,4,2 GHz,1920 x 1080,Var,8 GB,512 GB,Notebook,DÅüÅk
2666 MHz,2 - 4 kg,14 iná,,Paylaüçmlç,Dahili Ekran Kartç,LED,11.Nesil,1135G7,Windows 11 Home,,0,4,1 GHz,1920 x 1080,Yok,8 GB,512 GB,Notebook,DÅüÅk
3200 MHz,2 kg ve Altç,14 iná,Onboard,Paylaüçmlç,Dahili Ekran Kartç,TN,11.Nesil,1135G7,Yok (Free Dos),Yok,0,4,2 GHz,1920 x 1080,Yok,16 GB,512 GB,Notebook,DÅüÅk
3200 MHz,2 kg ve Altç,14 iná,Onboard,Paylaüçmlç,Dahili Ekran Kartç,TN,11.Nesil,1135G7,Yok (Free Dos),Yok,0,4,2 GHz,1920 x 1080,Yok,16 GB,512 GB,Notebook,DÅüÅk
